approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.0318,0.8,1.0,0.89,0.97,450.0
noclustering,mpress,1435.0,0.0,0.0019,0.98,0.94,0.96,0.99,450.0
noclustering,obsidium,1435.0,0.0,0.014,0.9,0.98,0.94,0.99,450.0
noclustering,pecompact,1434.0,0.0,0.0024,0.98,0.95,0.96,0.99,450.0
noclustering,pelock,1435.0,0.0,0.0,1.0,0.91,0.96,0.99,450.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.98,0.99,1.0,450.0
noclustering,telock,1432.0,0.0,0.0002,1.0,0.92,0.96,0.99,450.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.97,0.98,1.0,450.0
noclustering,upx,1432.0,0.0,0.0007,0.99,0.95,0.97,0.99,450.0
clustering,kkrunchy,1435.0,0.01,0.0014,0.99,0.99,0.99,1.0,62.72
clustering,mpress,1435.0,0.01,0.0089,0.93,0.95,0.94,0.99,63.59
clustering,obsidium,1435.0,0.01,0.0072,0.94,0.97,0.96,0.99,64.83
clustering,pecompact,1434.0,0.0,0.0042,0.97,0.99,0.98,1.0,63.74
clustering,pelock,1435.0,0.01,0.0015,0.99,0.93,0.96,0.99,70.85
clustering,petite,1434.0,0.0,0.0003,1.0,0.98,0.99,1.0,63.31
clustering,telock,1432.0,0.0,0.0008,0.99,0.95,0.97,0.99,64.93
clustering,themida-v2,1433.0,0.03,0.0018,0.99,0.97,0.98,1.0,61.67
clustering,upx,1432.0,0.02,0.001,0.99,0.95,0.97,0.99,63.13
