approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.0714,0.64,1.0,0.78,0.94,270.0
noclustering,mpress,1435.0,0.0,0.0049,0.96,0.94,0.95,0.99,270.0
noclustering,obsidium,1435.0,0.0,0.0009,0.99,0.91,0.95,0.99,270.0
noclustering,pecompact,1434.0,0.0,0.0,1.0,0.94,0.97,0.99,270.0
noclustering,pelock,1435.0,0.0,0.0006,0.99,0.92,0.96,0.99,270.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.98,1.0,270.0
noclustering,telock,1432.0,0.0,0.0,1.0,0.86,0.92,0.98,270.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.97,0.98,1.0,270.0
noclustering,upx,1432.0,0.0,0.0,1.0,0.88,0.93,0.99,270.0
clustering,kkrunchy,1435.0,0.01,0.0009,0.99,0.99,0.99,1.0,46.81
clustering,mpress,1435.0,0.02,0.0078,0.94,0.96,0.95,0.99,46.68
clustering,obsidium,1435.0,0.02,0.0044,0.96,0.96,0.96,0.99,48.13
clustering,pecompact,1434.0,0.04,0.001,0.99,0.95,0.97,0.99,45.83
clustering,pelock,1435.0,0.02,0.0019,0.98,0.95,0.97,0.99,49.71
clustering,petite,1434.0,0.0,0.0003,1.0,0.99,0.99,1.0,46.92
clustering,telock,1432.0,0.01,0.0003,1.0,0.95,0.97,0.99,46.5
clustering,themida-v2,1433.0,0.03,0.0011,0.99,0.97,0.98,1.0,46.08
clustering,upx,1432.0,0.04,0.0009,0.99,0.93,0.96,0.99,46.59
