approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.1024,0.55,1.0,0.71,0.91,180.0
noclustering,mpress,1435.0,0.0,0.0,1.0,0.92,0.96,0.99,180.0
noclustering,obsidium,1435.0,0.0,0.0017,0.99,0.87,0.92,0.98,180.0
noclustering,pecompact,1434.0,0.0,0.0,1.0,0.94,0.97,0.99,180.0
noclustering,pelock,1435.0,0.0,0.0002,1.0,0.8,0.89,0.98,180.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.98,1.0,180.0
noclustering,telock,1432.0,0.0,0.0,1.0,0.81,0.9,0.98,180.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.96,0.98,1.0,180.0
noclustering,upx,1432.0,0.0,0.0,1.0,0.9,0.95,0.99,180.0
clustering,kkrunchy,1435.0,0.0,0.0029,0.98,0.99,0.98,1.0,33.0
clustering,mpress,1435.0,0.03,0.0126,0.9,0.94,0.92,0.98,33.03
clustering,obsidium,1435.0,0.02,0.0131,0.9,0.98,0.94,0.99,33.18
clustering,pecompact,1434.0,0.0,0.0004,1.0,0.95,0.97,0.99,33.21
clustering,pelock,1435.0,0.05,0.0003,1.0,0.82,0.9,0.98,32.9
clustering,petite,1434.0,0.0,0.0006,1.0,0.99,0.99,1.0,33.01
clustering,telock,1432.0,0.02,0.0009,0.99,0.94,0.97,0.99,33.21
clustering,themida-v2,1433.0,0.01,0.0011,0.99,0.98,0.99,1.0,32.7
clustering,upx,1432.0,0.05,0.0044,0.96,0.93,0.95,0.99,32.92
