approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.028,0.82,1.0,0.9,0.98,540.0
noclustering,mpress,1435.0,0.0,0.0003,1.0,0.94,0.97,0.99,540.0
noclustering,obsidium,1435.0,0.0,0.0017,0.99,0.96,0.97,0.99,540.0
noclustering,pecompact,1434.0,0.0,0.0006,1.0,0.99,0.99,1.0,540.0
noclustering,pelock,1435.0,0.0,0.0012,0.99,0.95,0.97,0.99,540.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.98,1.0,540.0
noclustering,telock,1432.0,0.0,0.0047,0.96,0.96,0.96,0.99,540.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.99,1.0,1.0,540.0
noclustering,upx,1432.0,0.0,0.0003,1.0,0.95,0.98,0.99,540.0
clustering,kkrunchy,1435.0,0.0,0.0041,0.97,0.99,0.98,1.0,74.25
clustering,mpress,1435.0,0.0,0.0091,0.93,0.95,0.94,0.99,84.6
clustering,obsidium,1435.0,0.0,0.0058,0.95,0.96,0.96,0.99,93.86
clustering,pecompact,1434.0,0.0,0.0034,0.97,0.99,0.98,1.0,76.89
clustering,pelock,1435.0,0.01,0.0015,0.99,0.95,0.97,0.99,86.12
clustering,petite,1434.0,0.0,0.0001,1.0,0.99,0.99,1.0,74.84
clustering,telock,1432.0,0.0,0.0054,0.96,0.95,0.96,0.99,85.17
clustering,themida-v2,1433.0,0.0,0.0022,0.98,0.99,0.99,1.0,76.12
clustering,upx,1432.0,0.0,0.0005,1.0,0.96,0.98,0.99,92.29
