approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.0019,0.98,1.0,0.99,1.0,900.0
noclustering,mpress,1435.0,0.0,0.0056,0.96,0.98,0.97,0.99,900.0
noclustering,obsidium,1435.0,0.0,0.006,0.95,0.98,0.97,0.99,900.0
noclustering,pecompact,1434.0,0.0,0.0,1.0,0.99,1.0,1.0,900.0
noclustering,pelock,1435.0,0.0,0.0,1.0,0.94,0.97,0.99,900.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.99,1.0,900.0
noclustering,telock,1432.0,0.0,0.0065,0.95,0.97,0.96,0.99,900.0
noclustering,themida-v2,1433.0,0.0,0.0003,1.0,1.0,1.0,1.0,900.0
noclustering,upx,1432.0,0.0,0.0013,0.99,0.99,0.99,1.0,900.0
clustering,kkrunchy,1435.0,0.0,0.0001,1.0,0.99,1.0,1.0,116.6
clustering,mpress,1435.0,0.0,0.0018,0.99,0.98,0.98,1.0,121.34
clustering,obsidium,1435.0,0.0,0.0031,0.98,0.98,0.98,0.99,133.77
clustering,pecompact,1434.0,0.0,0.0012,0.99,1.0,0.99,1.0,119.24
clustering,pelock,1435.0,0.0,0.0002,1.0,0.96,0.98,1.0,136.56
clustering,petite,1434.0,0.0,0.0001,1.0,0.99,0.99,1.0,118.18
clustering,telock,1432.0,0.0,0.0107,0.92,0.98,0.95,0.99,132.55
clustering,themida-v2,1433.0,0.0,0.0007,0.99,1.0,0.99,1.0,117.59
clustering,upx,1432.0,0.0,0.0006,1.0,0.98,0.99,1.0,124.43
