approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.052,0.71,1.0,0.83,0.95,360.0
noclustering,mpress,1435.0,0.0,0.0059,0.95,0.94,0.95,0.99,360.0
noclustering,obsidium,1435.0,0.0,0.0017,0.99,0.95,0.97,0.99,360.0
noclustering,pecompact,1434.0,0.0,0.0001,1.0,0.94,0.97,0.99,360.0
noclustering,pelock,1435.0,0.0,0.0005,1.0,0.92,0.96,0.99,360.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.98,0.99,1.0,360.0
noclustering,telock,1432.0,0.0,0.0003,1.0,0.89,0.94,0.99,360.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.97,0.99,1.0,360.0
noclustering,upx,1432.0,0.0,0.0001,1.0,0.91,0.95,0.99,360.0
clustering,kkrunchy,1435.0,0.0,0.0031,0.98,0.99,0.98,1.0,56.1
clustering,mpress,1435.0,0.0,0.0102,0.92,0.98,0.95,0.99,60.36
clustering,obsidium,1435.0,0.01,0.0066,0.95,0.94,0.94,0.99,61.77
clustering,pecompact,1434.0,0.03,0.0099,0.92,0.95,0.94,0.99,55.86
clustering,pelock,1435.0,0.0,0.0019,0.98,0.93,0.95,0.99,70.62
clustering,petite,1434.0,0.0,0.0018,0.99,0.99,0.99,1.0,56.83
clustering,telock,1432.0,0.01,0.0025,0.98,0.93,0.96,0.99,63.78
clustering,themida-v2,1433.0,0.0,0.0009,0.99,0.98,0.99,1.0,58.31
clustering,upx,1432.0,0.02,0.0008,0.99,0.93,0.96,0.99,61.72
