approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.0053,0.96,0.99,0.98,0.99,810.0
noclustering,mpress,1435.0,0.0,0.0065,0.95,0.98,0.96,0.99,810.0
noclustering,obsidium,1435.0,0.0,0.0033,0.97,0.99,0.98,1.0,810.0
noclustering,pecompact,1434.0,0.0,0.0008,0.99,0.98,0.99,1.0,810.0
noclustering,pelock,1435.0,0.0,0.0,1.0,0.96,0.98,1.0,810.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.98,1.0,810.0
noclustering,telock,1432.0,0.0,0.0035,0.97,0.96,0.97,0.99,810.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,1.0,1.0,1.0,810.0
noclustering,upx,1432.0,0.0,0.0041,0.97,0.99,0.98,0.99,810.0
clustering,kkrunchy,1435.0,0.0,0.0007,0.99,0.99,0.99,1.0,102.57
clustering,mpress,1435.0,0.01,0.0079,0.94,0.98,0.96,0.99,108.22
clustering,obsidium,1435.0,0.0,0.0035,0.97,0.99,0.98,1.0,108.07
clustering,pecompact,1434.0,0.0,0.0023,0.98,0.98,0.98,1.0,108.16
clustering,pelock,1435.0,0.01,0.0,1.0,0.96,0.98,1.0,114.14
clustering,petite,1434.0,0.0,0.0,1.0,0.99,0.99,1.0,103.95
clustering,telock,1432.0,0.0,0.0021,0.98,0.95,0.97,0.99,107.11
clustering,themida-v2,1433.0,0.0,0.0002,1.0,1.0,1.0,1.0,103.69
clustering,upx,1432.0,0.0,0.0028,0.98,0.99,0.98,1.0,109.77
