approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.0079,0.94,1.0,0.97,0.99,630.0
noclustering,mpress,1435.0,0.0,0.0004,1.0,0.97,0.98,1.0,630.0
noclustering,obsidium,1435.0,0.0,0.0013,0.99,0.97,0.98,1.0,630.0
noclustering,pecompact,1434.0,0.0,0.001,0.99,0.99,0.99,1.0,630.0
noclustering,pelock,1435.0,0.0,0.0,1.0,0.96,0.98,1.0,630.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.98,1.0,630.0
noclustering,telock,1432.0,0.0,0.0082,0.94,0.99,0.96,0.99,630.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.99,1.0,1.0,630.0
noclustering,upx,1432.0,0.0,0.0032,0.97,0.99,0.98,1.0,630.0
clustering,kkrunchy,1435.0,0.0,0.0003,1.0,0.99,0.99,1.0,80.76
clustering,mpress,1435.0,0.0,0.0005,1.0,0.97,0.98,1.0,83.34
clustering,obsidium,1435.0,0.0,0.0042,0.97,0.98,0.97,0.99,83.63
clustering,pecompact,1434.0,0.0,0.0021,0.98,0.99,0.99,1.0,82.17
clustering,pelock,1435.0,0.02,0.0,1.0,0.94,0.97,0.99,93.0
clustering,petite,1434.0,0.0,0.0,1.0,0.99,0.99,1.0,81.73
clustering,telock,1432.0,0.01,0.0069,0.95,0.98,0.96,0.99,85.99
clustering,themida-v2,1433.0,0.0,0.0003,1.0,1.0,1.0,1.0,80.95
clustering,upx,1432.0,0.0,0.0025,0.98,0.99,0.99,1.0,81.83
