approach,packer,samples_num,unknown_rate,false_positive_rate,precision,recall,f1_score,accuracy,avg_num_instances
noclustering,kkrunchy,1435.0,0.0,0.0044,0.97,0.99,0.98,1.0,720.0
noclustering,mpress,1435.0,0.0,0.0109,0.92,0.98,0.95,0.99,720.0
noclustering,obsidium,1435.0,0.0,0.0024,0.98,0.94,0.96,0.99,720.0
noclustering,pecompact,1434.0,0.0,0.0,1.0,0.98,0.99,1.0,720.0
noclustering,pelock,1435.0,0.0,0.0036,0.97,0.93,0.95,0.99,720.0
noclustering,petite,1434.0,0.0,0.0,1.0,0.97,0.98,1.0,720.0
noclustering,telock,1432.0,0.0,0.0132,0.9,0.97,0.93,0.98,720.0
noclustering,themida-v2,1433.0,0.0,0.0,1.0,0.99,0.99,1.0,720.0
noclustering,upx,1432.0,0.0,0.0009,0.99,0.97,0.98,1.0,720.0
clustering,kkrunchy,1435.0,0.0,0.0014,0.99,0.99,0.99,1.0,96.89
clustering,mpress,1435.0,0.0,0.0002,1.0,0.95,0.97,0.99,103.95
clustering,obsidium,1435.0,0.0,0.0025,0.98,0.89,0.93,0.99,119.82
clustering,pecompact,1434.0,0.0,0.0022,0.98,0.99,0.99,1.0,98.93
clustering,pelock,1435.0,0.0,0.0084,0.93,0.93,0.93,0.99,137.18
clustering,petite,1434.0,0.0,0.0,1.0,0.99,0.99,1.0,97.87
clustering,telock,1432.0,0.0,0.0174,0.88,0.99,0.93,0.98,107.0
clustering,themida-v2,1433.0,0.0,0.0005,1.0,1.0,1.0,1.0,97.51
clustering,upx,1432.0,0.0,0.003,0.98,0.99,0.98,1.0,108.71
